,title,price,num_sold,shipping_type,condition,condition_description,num_reviews,pos_feedback_pct,return_days
0,"apple iphone 6s (excellent condition) factory unlocked, verizon, at&t, t-mobile ",135.99,,free 3 day shipping,used,“fully functional in excellent condition. our devices are professionally tested and cleaned to the highest standards. accessories are included. warranty included as well.”,30474.0,99.9,30 days returns
1,apple iphone 8 64gb gsm factory unlocked smartphone,149.99,"2,459 sold",,used,“overall good condition will have marks and scratches - mfi charger included”,13110.0,96.2,30 days returns
2,apple iphone 8 plus 256gb unlocked straight talk tmobile at&t verizon excellent,259.0,,,excellent - refurbished,"““pick your carrier or pick fully unlocked to work with multiple carriers.  all of these iphones have been fully tested by our team of on-site technicians using industry-leading testing software and procedures to guarantee they're in perfect working condition and perform just like brand new phones. we're confident in the quality and condition of these iphones and you can be too, by knowing that we offer a no-risk 30-day warranty””",61033.0,100.0,30 days returns
3,apple iphone 7 32gb gsm factory unlocked 4g lte ios wifi smartphone,107.99,"6,012 sold",,used,“overall good working condition and will have minor marks and scratches - charger included”,13110.0,96.2,30 days returns
4,apple iphone x 64gb factory unlocked phone - very good,209.95,"22,380 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
5,apple iphone 11 64gb factory unlocked 4g lte smartphone - very good,309.99,111 sold,,very good - refurbished,"“this iphone 11 is in very good condition and has been determined fully functional by our industry-leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. this item will not come in its original packaging but will include a certified cable and ul approved power adapter. headsets, sim card and manual are not included.  this iphone 11 is fully functional with all carrier networks.  it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,60 days returns
6,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - very,229.99,"31,520 sold",,very good - refurbished,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone has been determined fully functional by our industry leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,60 days returns
7,apple iphone x 64gb factory unlocked phone - very good,209.95,"22,380 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
8,apple iphone 11 64gb factory unlocked 4g lte smartphone - very good,309.99,111 sold,,very good - refurbished,"“this iphone 11 is in very good condition and has been determined fully functional by our industry-leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. this item will not come in its original packaging but will include a certified cable and ul approved power adapter. headsets, sim card and manual are not included.  this iphone 11 is fully functional with all carrier networks.  it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,60 days returns
9,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - very,229.99,"31,520 sold",,very good - refurbished,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone has been determined fully functional by our industry leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,60 days returns
10,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - good,204.99,"3,505 sold",,good - refurbished,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is in used condition. it is 100% functional but will show signs of use, including scratches and dents on the front, back, and corners of the product. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,30 days returns
11,apple iphone 8 64gb factory unlocked phone - very good,144.95,"20,289 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
12,apple iphone 11 64gb factory unlocked 4g lte smartphone - good,319.99,"3,884 sold",,good - refurbished,"“this iphone 11 is in good condition. it is 100% functional but will show signs of use, including scratches and dents on the front, back, and corners of the product. it will not come in its original packaging but will include a certified cable and ul-approved power adapter. headsets, sim card and manual are not included. this iphone 11 is fully functional with all carrier networks.  it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,30 days returns
13,apple iphone x 256gb unlocked smartphone - very good,234.95,"13,005 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
14,apple iphone xs 64gb unlocked smartphone - very good,219.95,"6,503 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
15,apple iphone 7 32gb black unlocked a1660 cdma and gsm,104.49,,,used,,56136.0,98.9,30 days returns
16,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - good,204.99,"3,505 sold",,good - refurbished,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is in used condition. it is 100% functional but will show signs of use, including scratches and dents on the front, back, and corners of the product. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,30 days returns
17,apple iphone 13 128gb\256gb\512gb a2482 unlocked excellent,669.99,310 sold,,used,"“excellent condition - these phones will appear flawless but upon a closer look there may be subtle signs of use. there may be some signs of use on the screen or on the body of the phone, however, these will be difficult to notice with the naked eye. all phones are fully tested using our 34-point inspection process and are 100% functional.”",39879.0,99.0,30 days returns
18,apple iphone 8 64gb factory unlocked phone - very good,144.95,"20,289 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
19,apple iphone 11 a2111 64/128/256gb sprint verizon t-mobile at&t unlocked good,299.99,806 sold,,used,“good condition - these phones may show common to heavy signs of wear such as scuffs or scratches on both the screen and the body. there may be dings in the frame of the phone and wear around audio and charging ports. all phones are fully tested using our 34-point inspection process and are 100% functional.”,39879.0,99.0,30 days returns
20,apple iphone x 256gb unlocked smartphone - very good,234.95,"13,005 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
21,apple iphone 11 64gb factory unlocked 4g lte smartphone - good,309.99,9 sold,,good - refurbished,"“this product has been determined fully functional by our industry leading functionality inspection and is backed by a one year warranty , good condition - may show moderate signs of wear like a few scratches, scuffs, and minor dents but it does not impair the functionality, and no screen burns, includes free approved charger and cable, certified via a 34 point factory inspection, these are unlocked devices, ships in a generic box, photos are stock photos”",119534.0,99.2,30 days returns
22,apple iphone 12 unlocked 64gb 128gb 256gb | verizon t-mobile at&t | very good,489.98,,free 3 day shipping,very good - refurbished,"“phones are 100% tested and work like new. all orders include the apple iphone 12 (color, carrier, and gb you choose from drop down list), wall charging block, and mfi certified lightning usb cable. battery health tested and is a minimum of 80%+. very good- shows some limited use with light scratches on front screen/back and possible wear on edges. all units tested and work perfectly!”",15046.0,98.4,30 days returns
23,apple iphone 8 - 64gb - space gray unlocked cdma + gsm ,149.89,"1,431 sold",,used,,56136.0,98.9,30 days returns
24,apple iphone xs 64gb unlocked smartphone - very good,219.95,"6,503 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
25,apple iphone xs 64gb factory unlocked 4g lte ios smartphone - very good,234.99,"5,440 sold",,very good - refurbished,"“this apple iphone xs 64gb factory unlocked 4g lte ios smartphone has been determined fully functional by our industry leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xs 64gb factory unlocked 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,60 days returns
26,apple iphone 11 - 64gb - factory unlocked - good condition,309.99,"1,264 sold",,good - refurbished,"“fully tested and restored to factory settings by our in house technicians. - good – this product is in good cosmetic condition, there will be signs of wear which may include scratches, visible scuffs and/or screen discoloration but nothing that will impair functionality. battery health will be a minimum of 80%. the item has been fully tested, restored to factory settings and is in excellent working order.”",27638.0,96.8,60 days returns
27,apple iphone xs max 64/256/512gb a1921 a2101 at&t verizon unlocked excellent,299.99,12 sold,,used,"“excellent condition - these phones will appear flawless but upon a closer look there may be subtle signs of use. there may be some signs of use on the screen or on the body of the phone, however, these will be difficult to notice with the naked eye. all phones are fully tested using our 34-point inspection process and are 100% functional.”",5146.0,99.6,30 days returns
28,apple iphone xs max - 256gb - space gray (unlocked) a1921 (cdma + gsm),409.99,77 sold,,open box,““these units are returns from our retail stores and have been sent back and retested to ensure 100% function. these units are backed by our 30 day worry free guarantee. all units are in pristine cosmetic condition. comes with original wrapped oem charger and cube and a box. along with oem accessories we are also throwing in an extra car charger. these devices are unlocked and can be activated on cdma and gsm carriers””,7186.0,100.0,30 days returns
29,apple iphone 7 128gb  gsm/cdma fully unlocked smartphone- black ,119.99,697 sold,,used,"“overall good condition , may have minor marks and scratches - charger included .”",13110.0,96.2,30 days returns
30,apple iphone 8 plus 64gb unlocked smartphone - very good,219.95,"22,289 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
