,title,price,condition,condition_description,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
0,"apple iphone 6s (excellent condition) factory unlocked, verizon, at&t, t-mobile ",135.99,1.0,“fully functional in excellent condition. our devices are professionally tested and cleaned to the highest standards. accessories are included. warranty included as well.”,30474.0,99.9,2.0,8,57.49235474006116,2015
1,apple iphone 8 64gb gsm factory unlocked smartphone,149.99,1.0,“overall good condition will have marks and scratches - mfi charger included”,13110.0,96.2,2.0,11,64.0,2017
2,apple iphone 8 plus 256gb unlocked straight talk tmobile at&t verizon excellent,259.0,4.0,"““pick your carrier or pick fully unlocked to work with multiple carriers.  all of these iphones have been fully tested by our team of on-site technicians using industry-leading testing software and procedures to guarantee they're in perfect working condition and perform just like brand new phones. we're confident in the quality and condition of these iphones and you can be too, by knowing that we offer a no-risk 30-day warranty””",61033.0,100.0,2.0,11,256.0,2017
3,apple iphone 7 32gb gsm factory unlocked 4g lte ios wifi smartphone,107.99,1.0,“overall good working condition and will have minor marks and scratches - charger included”,13110.0,96.2,2.0,10,32.0,2016
4,apple iphone x 64gb factory unlocked phone - very good,209.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,12,64.0,2017
5,apple iphone 11 64gb factory unlocked 4g lte smartphone - very good,309.99,3.0,"“this iphone 11 is in very good condition and has been determined fully functional by our industry-leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. this item will not come in its original packaging but will include a certified cable and ul approved power adapter. headsets, sim card and manual are not included.  this iphone 11 is fully functional with all carrier networks.  it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,3.0,15,64.0,2019
6,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - very,229.99,3.0,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone has been determined fully functional by our industry leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,3.0,13,64.0,2018
7,apple iphone x 64gb factory unlocked phone - very good,209.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,12,64.0,2017
8,apple iphone 11 64gb factory unlocked 4g lte smartphone - very good,309.99,3.0,"“this iphone 11 is in very good condition and has been determined fully functional by our industry-leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. this item will not come in its original packaging but will include a certified cable and ul approved power adapter. headsets, sim card and manual are not included.  this iphone 11 is fully functional with all carrier networks.  it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,3.0,15,64.0,2019
9,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - very,229.99,3.0,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone has been determined fully functional by our industry leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,3.0,13,64.0,2018
