,title,price,condition,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
0,apple iphone 7 plus (excellent condition) factory unlocked verizon tmobile at&t ,237.99,1.0,30470.0,99.9,2.0,10,78.54110612855007,2016
1,apple iphone 8 64gb gsm factory unlocked gray & silver (good condition),149.99,2.0,2703.0,97.2,2.0,11,64.0,2017
2,apple iphone 8 64gb gsm factory unlocked smartphone,149.99,1.0,13103.0,96.3,2.0,11,64.0,2017
3,apple iphone 7 32gb gsm factory unlocked 4g lte ios wifi smartphone,107.99,1.0,13103.0,96.3,2.0,10,32.0,2016
4,apple iphone x 64gb factory unlocked phone - very good,209.95,3.0,332288.0,98.4,3.0,12,64.0,2017
5,apple iphone 11 64gb factory unlocked 4g lte smartphone - very good,309.99,3.0,67602.0,98.9,3.0,15,64.0,2019
6,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - very,229.99,3.0,67602.0,98.9,3.0,13,64.0,2018
7,apple iphone x 64gb factory unlocked phone - very good,209.95,3.0,332288.0,98.4,3.0,12,64.0,2017
8,apple iphone 11 64gb factory unlocked 4g lte smartphone - very good,309.99,3.0,67602.0,98.9,3.0,15,64.0,2019
9,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - very,229.99,3.0,67602.0,98.9,3.0,13,64.0,2018
10,apple iphone xs 64gb factory unlocked 4g lte ios smartphone - very good,234.99,3.0,67602.0,98.9,3.0,14,64.0,2018
11,apple iphone 11 64gb factory unlocked 4g lte smartphone - good,319.99,2.0,67602.0,98.9,2.0,15,64.0,2019
12,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - good,204.99,2.0,67602.0,98.9,2.0,13,64.0,2018
13,apple iphone 8 64gb factory unlocked phone - very good,144.95,3.0,332288.0,98.4,3.0,11,64.0,2017
14,apple iphone x 256gb unlocked smartphone - very good,234.95,3.0,332288.0,98.4,3.0,12,256.0,2017
15,apple iphone xs 64gb factory unlocked 4g lte ios smartphone - very good,234.99,3.0,67602.0,98.9,3.0,14,64.0,2018
16,apple iphone 11 64gb factory unlocked 4g lte smartphone - grade b+,299.99,1.0,119431.0,99.3,2.0,15,64.0,2019
17,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - good,204.99,2.0,67602.0,98.9,2.0,13,64.0,2018
18,apple iphone 13 128gb\256gb\512gb a2482 unlocked excellent,669.99,1.0,39862.0,99.2,2.0,17,128.0,2021
19,apple iphone 8 64gb factory unlocked phone - very good,144.95,3.0,332288.0,98.4,3.0,11,64.0,2017
20,apple iphone 8 - 64gb - space gray unlocked cdma + gsm ,149.89,1.0,56112.0,98.9,2.0,11,64.0,2017
21,apple iphone 8 plus 256gb unlocked straight talk tmobile at&t verizon excellent,259.0,4.0,60971.0,100.0,2.0,11,256.0,2017
22,apple iphone 11 - 128gb/64gb - factory unlocked - very good condition -all color,395.0,1.0,5146.0,99.3,2.0,15,128.0,2019
23,apple iphone 8 plus 64gb unlocked metro cricket tmobile at&t verizon - excellent,219.0,4.0,60971.0,100.0,2.0,11,64.0,2017
24,apple iphone x 256gb unlocked smartphone - very good,234.95,3.0,332288.0,98.4,3.0,12,256.0,2017
25,apple iphone 11 a2111 64/128/256gb sprint verizon t-mobile at&t unlocked good,299.99,1.0,39862.0,99.2,2.0,15,124.43806104129264,2019
26,apple iphone xs 64gb unlocked smartphone - very good,219.95,3.0,332288.0,98.4,3.0,14,64.0,2018
27,apple iphone 8 plus 64gb unlocked smartphone - very good,219.95,3.0,332288.0,98.4,3.0,11,64.0,2017
28,apple iphone x 64gb fully unlocked (gsm+cdma) at&t t-mobile verizon silver,234.99,5.0,6904.0,99.9,3.0,12,64.0,2017
29,apple iphone 7 128gb  gsm/cdma fully unlocked smartphone- black ,114.99,1.0,13103.0,96.3,2.0,10,128.0,2016
30,apple iphone 11 - 64gb - factory unlocked - good condition,309.99,2.0,27605.0,96.8,3.0,15,64.0,2019
32,apple iphone xs max - 256gb - space gray (unlocked) a1921 (cdma + gsm),388.99,5.0,7165.0,100.0,2.0,14,256.0,2018
33,"apple iphone se - 32gb - space gray (unlocked) a1662 "" b stock""",64.99,1.0,7165.0,100.0,2.0,9,32.0,2016
34,apple iphone xs max 64/256/512gb a1921 a2101 at&t verizon unlocked excellent,299.99,1.0,5134.0,99.6,2.0,14,177.84242424242424,2018
35,apple iphone 11 64gb unlocked smartphone - very good,349.95,3.0,332288.0,98.4,3.0,15,64.0,2019
